型号,品牌,最近好评率,历史好评率,合计好评率
Redmi 9A,Redmi,0.9,0.97,0.92
Redmi Note 10 Pro,Redmi,0.83,0.96,0.87
Redmi Note 11,Redmi,0.86,0.97,0.9
Redmi Note 11 Pro,Redmi,0.85,0.96,0.88
Redmi Note 9,Redmi,0.88,0.96,0.91
Redmi Note 9 Pro,Redmi,0.89,0.96,0.91
vivo iQOO Neo5 活力版,vivo,0.83,0.95,0.87
荣耀Play5T,荣耀,0.81,0.96,0.85
荣耀Play5T Pro,荣耀,0.86,0.96,0.89
荣耀X10,荣耀,0.76,0.97,0.82
Apple iPhone 11,Apple,0.72,0.95,0.79
Apple iPhone 12 mini,Apple,0.74,0.93,0.8
HUAWEI nova 8 SE,HUAWEI,0.74,0.96,0.81
OPPO Reno7,OPPO,0.88,0.97,0.91
Redmi K40 Pro+,Redmi,0.81,0.94,0.85
Redmi K40,Redmi,0.85,0.95,0.88
Redmi K40游戏增强版,Redmi,0.8,0.95,0.84
vivo iQOO Neo5,vivo,0.82,0.95,0.86
小米10S,小米,0.81,0.92,0.84
荣耀50,荣耀,0.82,0.95,0.86
Apple iPhone 12,Apple,0.82,0.95,0.86
Apple iPhone 13,Apple,0.82,0.95,0.86
Apple iPhone 13 mini,Apple,0.78,0.94,0.83
Apple iPhone 13 Pro,Apple,0.71,0.97,0.79
HUAWEI P50 Pro,HUAWEI,0.72,0.97,0.8
三星 SAMSUNG Galaxy Note20 Ultra,三星,0.68,0.92,0.75
华为 HUAWEI Mate 40 Pro,HUAWEI,0.74,0.98,0.81
小米11 Ultra 至尊,小米,0.68,0.91,0.75
小米 MIX4,小米,0.81,0.92,0.84
荣耀 Magic3 Pro,荣耀,0.76,0.95,0.82
Apple iPhone 12 Pro Max,Apple,0.75,0.96,0.81
Apple iPhone 13 Pro Max,Apple,0.72,0.97,0.8
HUAWEI P50 Pro,HUAWEI,0.76,0.97,0.82
MIX FOLD 小米折叠屏手机,小米,0.73,0.91,0.78
三星 SAMSUNG Galaxy S21 Ultra,三星,0.72,0.92,0.78
三星 SAMSUNG Galaxy Z Fold2,三星,0.59,0.95,0.7
三星 SAMSUNG Galaxy Z Fold3,三星,0.77,0.96,0.82
三星 SAMSUNG 心系天下W21,三星,0.63,0.96,0.73
华为 HUAWEI Mate 40 RS,HUAWEI,0.58,0.98,0.7
索尼（SONY）Xperia 1 III,索尼,0.68,0.91,0.75
